INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 94
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 95
INFO [typing_duell::user_interface] iterating over text to type, current char: u, current index: 96
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 97
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 98
INFO [typing_duell::user_interface] iterating over text to type, current char: l, current index: 99
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 100
INFO [typing_duell::user_interface] iterating over text to type, current char: b, current index: 101
INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 102
INFO [typing_duell::user_interface] iterating over text to type, current char: r, current index: 103
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 104
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 105
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 106
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 107
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 108
INFO [typing_duell::user_interface] iterating over text to type, current char: d, current index: 109
INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 110
INFO [typing_duell::user_interface] iterating over text to type, current char: l, current index: 111
INFO [typing_duell::user_interface] iterating over text to type, current char: o, current index: 112
INFO [typing_duell::user_interface] iterating over text to type, current char: r, current index: 113
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 114
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 115
INFO [typing_duell::user_interface] iterating over text to type, current char: m, current index: 116
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 117
INFO [typing_duell::user_interface] iterating over text to type, current char: g, current index: 118
INFO [typing_duell::user_interface] iterating over text to type, current char: n, current index: 119
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 120
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 121
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 122
INFO [typing_duell::user_interface] iterating over text to type, current char: l, current index: 123
INFO [typing_duell::user_interface] iterating over text to type, current char: i, current index: 124
INFO [typing_duell::user_interface] iterating over text to type, current char: q, current index: 125
INFO [typing_duell::user_interface] iterating over text to type, current char: u, current index: 126
INFO [typing_duell::user_interface] iterating over text to type, current char: y, current index: 127
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 128
INFO [typing_duell::user_interface] iterating over text to type, current char: m, current index: 129
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 130
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 131
INFO [typing_duell::user_interface] iterating over text to type, current char: r, current index: 132
INFO [typing_duell::user_interface] iterating over text to type, current char: a, current index: 133
INFO [typing_duell::user_interface] iterating over text to type, current char: t, current index: 134
INFO [typing_duell::user_interface] iterating over text to type, current char: ,, current index: 135
INFO [typing_duell::user_interface] iterating over text to type, current char:  , current index: 136
INFO [typing_duell::user_interface] iterating over text to type, current char: s, current index: 137
INFO [typing_duell::user_interface] iterating over text to type, current char: e, current index: 138
INFO [typing_duell::user_interface] iterating over text to type, current char: d, current index: 139
